galaxy,source_galaxy_name,shell_id,paper_type,paper_type_label,review_hint,ra_deg,dec_deg,velocity_center_kms,diameter_pc,expansion_velocity_kms,position_angle_deg,axis_ratio,galactocentric_radius_kpc,nHI,kinematic_age_myr,log_energy_erg,log_HI_mass,recommended_pv_center_velocity_kms,recommended_pv_spatial_window_kpc,recommended_pv_velocity_window_kms,recommended_major_axis_pa_deg,recommended_minor_axis_pa_deg
ic_2574,IC 2574,21,1,type_1_both_sides_stalled_or_no_velocity_caps,Look for a PV cavity/gap where neither side shows a clear expansion cap.,157.18,68.47019444444445,66.0,894.0,7.0,88.0,0.7,4.4,-0.4,63.0,2.8,2.9,66.0,5.0,200.0,88.0,178.0
ic_2574,IC 2574,23,2,type_2_one_side_expanding,Look for a cavity with one visible expanding velocity side.,157.1820833333333,68.46019444444445,76.0,702.0,36.0,0.0,1.0,3.7,-0.3,10.0,3.5,2.7,76.0,5.0,200.0,0.0,90.0
ngc_2403,NGC 2403,90,3,type_3_both_sides_expanding,"Look for both expanding sides, usually the cleanest closed/elliptical PV signature.",114.21083333333333,65.58269444444444,159.0,218.0,26.0,25.0,0.9,2.0,-0.2,4.0,1.8,1.3,159.0,5.0,200.0,25.0,115.0
