epoch,learning_rate,loss,pr_auc,precision,recall,val_loss,val_pr_auc,val_precision,val_recall
0,0.0010000000474974513,0.08241826295852661,0.004309712443500757,0.004190309438854456,0.0063432687893509865,0.026853496208786964,0.252765953540802,0.0,0.0
1,0.0010000000474974513,0.015909308567643166,0.21876704692840576,0.07407407462596893,1.0114035831065848e-05,0.01801821030676365,0.2859196066856384,0.0,0.0
2,0.0010000000474974513,0.010471129789948463,0.28671184182167053,0.0,0.0,0.014273656532168388,0.3732330799102783,0.0,0.0
3,0.0010000000474974513,0.009184553287923336,0.32611656188964844,0.0,0.0,0.014703081920742989,0.29458582401275635,0.0,0.0
4,0.0010000000474974513,0.008207092061638832,0.3308427929878235,0.5845808386802673,0.01626456528902054,0.012766579166054726,0.4180331230163574,0.5907549262046814,0.33775779604911804
5,0.0010000000474974513,0.007980579510331154,0.35320621728897095,0.596426784992218,0.15456928312778473,0.012790808454155922,0.4083535075187683,0.7707145810127258,0.023035194724798203
6,0.0010000000474974513,0.007751536555588245,0.3852439224720001,0.6104423999786377,0.20070645213127136,0.011608348228037357,0.42763084173202515,0.6431241631507874,0.2727534770965576
7,0.0010000000474974513,0.007469145115464926,0.38867345452308655,0.6103648543357849,0.1997695118188858,0.010303263552486897,0.4704972505569458,0.6937814950942993,0.2434026002883911
8,0.0010000000474974513,0.006835920736193657,0.4421488046646118,0.6421066522598267,0.25423967838287354,0.01084701344370842,0.4390474855899811,0.6212657690048218,0.2967452108860016
9,0.0010000000474974513,0.006775095593184233,0.48734548687934875,0.6609577536582947,0.3130895793437958,0.012285912409424782,0.3344876170158386,0.5128008723258972,0.23699520528316498
